player_id,age,gender,region,hours_per_week,preferred_mode,primary_game_genre,plays_with_friends,voice_chat_usage,motivation,favorite_game,spending_per_month_inr,satisfaction_score,likelihood_to_continue
65,16,Male,Asia,8.5,Both,FPS,Yes,Sometimes,Social Fun,Valorant,599.0,6.5,Medium
66,24,Male,Asia,11.4,Online Multiplayer,Adventure,Yes,Always,Competition,FIFA,1081.0,5.0,Low
67,18,Male,North America,5.2,Story Mode,FPS,No,Sometimes,Competition,GTA V,1677.0,4.8,Low
68,28,Male,North America,9.8,Online Multiplayer,Adventure,Yes,Always,Social Fun,FIFA,1316.0,8.3,High
69,30,Female,Asia,9.3,Online Multiplayer,RPG,No,Never,Social Fun,The Witcher 3,107.0,6.3,Medium
70,29,Male,North America,8.1,Story Mode,RPG,No,Never,Social Fun,Minecraft,754.0,5.4,Low
71,22,Female,Asia,9.4,Both,Adventure,Yes,Sometimes,Social Fun,FIFA,1078.0,9.1,High
72,28,Female,South America,9.3,Online Multiplayer,RPG,Yes,Always,Relaxation,FIFA,1176.0,9.1,High
73,22,Male,Europe,11.2,Online Multiplayer,MOBA,No,Never,Social Fun,Minecraft,774.0,8.4,High
74,35,Female,Europe,11.8,Story Mode,Adventure,No,Never,Competition,The Witcher 3,580.0,7.4,Medium
75,30,Other,North America,13.8,Online Multiplayer,RPG,Yes,Always,Competition,CS:GO,934.0,8.7,High
76,27,Male,Asia,5.1,Online Multiplayer,MOBA,No,Never,Story,FIFA,357.0,5.2,Low
77,32,Male,Asia,13.0,Online Multiplayer,Adventure,Yes,Always,Story,Valorant,1450.0,7.8,Medium
78,29,Female,North America,18.9,Online Multiplayer,FPS,No,Sometimes,Relaxation,FIFA,1834.0,7.8,Medium
79,35,Female,Asia,16.9,Online Multiplayer,FPS,Yes,Always,Social Fun,Valorant,1097.0,8.3,High
80,27,Male,South America,9.5,Online Multiplayer,FPS,Yes,Always,Competition,The Witcher 3,784.0,7.9,Medium
81,23,Female,Europe,14.0,Online Multiplayer,MOBA,Yes,Always,Relaxation,FIFA,1370.0,7.0,Medium
82,29,Female,North America,7.8,Both,Adventure,Yes,Always,Social Fun,The Witcher 3,1286.0,6.0,Medium
83,27,Female,North America,6.6,Story Mode,Sports,Yes,Always,Competition,The Witcher 3,762.0,7.8,Medium
84,15,Female,Asia,3.9,Story Mode,Adventure,Yes,Always,Story,CS:GO,876.0,8.1,High
85,21,Female,North America,16.5,Online Multiplayer,RPG,Yes,Always,Competition,FIFA,595.0,8.1,High
86,23,Male,South America,10.9,Online Multiplayer,FPS,Yes,Always,Social Fun,Valorant,982.0,9.1,High
87,15,Male,Asia,3.3,Story Mode,Adventure,Yes,Sometimes,Social Fun,Valorant,1049.0,9.4,High
88,26,Male,Asia,8.9,Online Multiplayer,RPG,Yes,Never,Competition,FIFA,510.0,7.9,Medium
89,22,Female,Asia,6.8,Online Multiplayer,Sports,Yes,Sometimes,Social Fun,Minecraft,363.0,7.9,Medium
90,25,Male,Asia,6.3,Story Mode,FPS,Yes,Always,Relaxation,CS:GO,237.0,8.7,High
91,33,Male,South America,8.7,Story Mode,RPG,No,Sometimes,Relaxation,CS:GO,1108.0,5.4,Low
92,31,Male,Asia,12.7,Online Multiplayer,Adventure,Yes,Sometimes,Social Fun,CS:GO,894.0,7.5,Medium
93,22,Male,North America,14.4,Online Multiplayer,Adventure,Yes,Always,Story,Valorant,858.0,8.8,High
94,17,Female,South America,11.1,Story Mode,RPG,No,Never,Competition,The Witcher 3,1132.0,8.8,High
95,17,Female,Europe,18.0,Online Multiplayer,MOBA,No,Never,Social Fun,Minecraft,450.0,7.8,Medium
96,15,Male,Europe,6.8,Story Mode,FPS,Yes,Always,Relaxation,CS:GO,365.0,8.5,High
97,19,Male,North America,9.8,Story Mode,Adventure,No,Sometimes,Relaxation,Valorant,1021.0,5.8,Low
98,24,Male,North America,8.9,Both,Adventure,Yes,Sometimes,Competition,Valorant,36.0,8.1,High
99,21,Male,South America,14.4,Online Multiplayer,MOBA,Yes,Sometimes,Story,The Witcher 3,771.0,8.4,High
100,23,Male,Europe,13.1,Both,MOBA,Yes,Always,Relaxation,FIFA,2133.0,9.0,High
101,21,Male,Europe,12.1,Story Mode,FPS,Yes,Always,Story,FIFA,226.0,8.9,High
102,23,Male,Europe,11.5,Online Multiplayer,FPS,Yes,Always,Competition,CS:GO,685.0,8.3,High
103,22,Male,Europe,6.6,Online Multiplayer,Sports,Yes,Sometimes,Relaxation,CS:GO,0.0,4.9,Low
104,26,Male,Europe,8.0,Story Mode,RPG,No,Sometimes,Story,Minecraft,783.0,5.6,Low
105,16,Male,Asia,17.9,Online Multiplayer,Sports,Yes,Always,Relaxation,The Witcher 3,1883.0,8.5,High
106,15,Male,North America,16.1,Online Multiplayer,FPS,Yes,Sometimes,Social Fun,CS:GO,1133.0,8.7,High
107,30,Male,Asia,13.2,Online Multiplayer,Adventure,Yes,Always,Competition,The Witcher 3,593.0,6.9,Medium
108,19,Female,Europe,8.7,Both,MOBA,Yes,Sometimes,Competition,Valorant,1991.0,5.5,Low
109,17,Male,South America,12.1,Both,Sports,No,Never,Social Fun,CS:GO,29.0,5.8,Low
110,26,Male,South America,9.3,Story Mode,FPS,No,Never,Story,Valorant,1127.0,7.4,Medium
111,22,Female,Europe,16.8,Online Multiplayer,Adventure,Yes,Sometimes,Social Fun,GTA V,932.0,9.5,High
112,17,Male,Europe,8.6,Online Multiplayer,RPG,Yes,Always,Social Fun,The Witcher 3,776.0,7.3,Medium
113,15,Female,South America,3.6,Story Mode,FPS,No,Never,Story,GTA V,1304.0,4.7,Low
114,17,Male,Asia,9.9,Online Multiplayer,Adventure,Yes,Always,Competition,CS:GO,309.0,8.4,High
115,19,Other,Asia,17.3,Online Multiplayer,Adventure,No,Never,Social Fun,Valorant,1056.0,5.5,Low
116,29,Female,Europe,8.2,Story Mode,Sports,No,Sometimes,Competition,CS:GO,993.0,7.5,Medium
117,28,Female,Asia,11.4,Both,RPG,Yes,Never,Competition,GTA V,464.0,8.6,High
118,17,Female,South America,6.6,Story Mode,FPS,Yes,Always,Social Fun,CS:GO,1875.0,7.2,Medium
119,15,Male,Asia,8.6,Story Mode,FPS,No,Never,Story,Minecraft,809.0,7.8,Medium
120,19,Male,Europe,6.5,Both,RPG,Yes,Always,Competition,FIFA,831.0,7.5,Medium
121,28,Female,South America,12.1,Online Multiplayer,FPS,Yes,Sometimes,Competition,GTA V,386.0,6.6,Medium
122,21,Male,Asia,9.5,Story Mode,MOBA,No,Never,Competition,CS:GO,818.0,6.3,Medium
123,23,Female,North America,3.6,Both,RPG,Yes,Never,Competition,Valorant,2067.0,9.0,High
124,29,Male,South America,19.7,Online Multiplayer,Sports,Yes,Always,Social Fun,CS:GO,774.0,8.2,High
125,29,Male,South America,4.8,Story Mode,Sports,Yes,Never,Social Fun,Valorant,1159.0,8.0,High
126,24,Male,North America,7.0,Story Mode,Adventure,Yes,Sometimes,Competition,FIFA,1375.0,7.6,Medium
127,27,Male,North America,8.4,Story Mode,Sports,Yes,Sometimes,Relaxation,CS:GO,809.0,9.2,High
128,33,Male,South America,8.6,Story Mode,MOBA,No,Sometimes,Social Fun,FIFA,695.0,8.2,High
129,21,Male,North America,8.5,Both,RPG,No,Never,Competition,GTA V,1136.0,7.4,Medium
130,31,Male,Europe,3.6,Both,FPS,No,Sometimes,Relaxation,Valorant,779.0,6.3,Medium
131,34,Male,Europe,15.9,Online Multiplayer,RPG,No,Never,Social Fun,Minecraft,734.0,7.6,Medium
132,18,Male,Europe,10.3,Both,RPG,Yes,Always,Social Fun,GTA V,1370.0,8.6,High
133,19,Female,South America,5.0,Online Multiplayer,MOBA,Yes,Always,Social Fun,Valorant,865.0,8.9,High
134,21,Male,North America,5.9,Online Multiplayer,RPG,Yes,Always,Competition,FIFA,1507.0,5.7,Low
135,27,Male,North America,12.2,Online Multiplayer,MOBA,Yes,Sometimes,Social Fun,The Witcher 3,854.0,5.9,Low
136,29,Male,Asia,9.9,Online Multiplayer,Adventure,Yes,Sometimes,Competition,CS:GO,241.0,9.5,High
137,25,Female,Asia,9.4,Online Multiplayer,FPS,Yes,Always,Competition,FIFA,0.0,6.8,Medium
138,18,Male,North America,2.3,Both,Sports,Yes,Never,Competition,Valorant,0.0,6.9,Medium
139,27,Female,North America,3.6,Story Mode,RPG,No,Never,Social Fun,Valorant,67.0,8.2,High
140,21,Female,North America,5.0,Story Mode,RPG,Yes,Always,Competition,Valorant,1033.0,6.8,Medium
141,33,Male,South America,6.8,Online Multiplayer,Adventure,Yes,Always,Relaxation,Valorant,414.0,8.6,High
142,16,Male,North America,6.9,Both,FPS,Yes,Sometimes,Story,CS:GO,0.0,6.6,Medium
143,24,Male,Asia,1.0,Both,Adventure,No,Never,Story,GTA V,835.0,7.0,Medium
144,27,Male,South America,8.5,Both,RPG,Yes,Always,Competition,Minecraft,359.0,9.4,High
145,35,Male,North America,12.0,Online Multiplayer,RPG,No,Never,Competition,The Witcher 3,1132.0,6.8,Medium
146,20,Female,Asia,19.5,Online Multiplayer,Sports,No,Sometimes,Social Fun,CS:GO,1119.0,8.5,High
147,26,Male,South America,14.9,Online Multiplayer,RPG,Yes,Sometimes,Social Fun,Valorant,1172.0,9.0,High
148,26,Male,North America,19.3,Online Multiplayer,FPS,Yes,Never,Social Fun,CS:GO,0.0,8.1,High
149,34,Male,North America,6.4,Online Multiplayer,RPG,Yes,Never,Relaxation,FIFA,923.0,9.3,High
150,25,Female,North America,11.0,Both,Sports,Yes,Always,Social Fun,Minecraft,839.0,9.0,High
151,21,Male,South America,13.0,Online Multiplayer,FPS,Yes,Always,Social Fun,Valorant,289.0,7.5,Medium
152,15,Male,Asia,12.5,Online Multiplayer,FPS,Yes,Always,Story,The Witcher 3,0.0,9.2,High
153,15,Female,Asia,11.5,Online Multiplayer,FPS,No,Never,Social Fun,Valorant,846.0,5.6,Low
154,34,Female,Europe,12.4,Online Multiplayer,FPS,No,Never,Social Fun,Minecraft,1432.0,5.4,Low
155,27,Male,North America,7.5,Online Multiplayer,MOBA,Yes,Always,Social Fun,The Witcher 3,0.0,8.3,High
156,23,Male,Europe,14.3,Online Multiplayer,Adventure,Yes,Never,Competition,Minecraft,484.0,6.4,Medium
157,17,Female,Europe,14.9,Online Multiplayer,RPG,Yes,Never,Competition,The Witcher 3,966.0,9.0,High
158,21,Male,Asia,4.0,Both,Adventure,Yes,Always,Social Fun,GTA V,1462.0,8.8,High
159,20,Male,South America,7.7,Both,RPG,Yes,Always,Competition,GTA V,744.0,8.1,High
160,22,Male,South America,10.8,Online Multiplayer,Sports,Yes,Always,Relaxation,CS:GO,1866.0,5.7,Low
161,23,Male,Asia,9.3,Online Multiplayer,Sports,Yes,Always,Relaxation,CS:GO,2.0,9.4,High
162,19,Female,South America,3.8,Both,RPG,Yes,Sometimes,Story,The Witcher 3,0.0,8.5,High
163,15,Female,Europe,12.1,Online Multiplayer,MOBA,No,Never,Relaxation,Valorant,1409.0,8.2,High
164,33,Male,North America,13.0,Online Multiplayer,MOBA,Yes,Sometimes,Competition,FIFA,0.0,7.8,Medium
165,24,Male,Asia,6.8,Both,FPS,Yes,Sometimes,Social Fun,FIFA,1131.0,7.4,Medium
166,26,Male,North America,7.6,Online Multiplayer,FPS,Yes,Always,Social Fun,Valorant,753.0,7.6,Medium
167,29,Male,South America,8.6,Story Mode,RPG,No,Never,Social Fun,Valorant,449.0,3.6,Low
168,23,Female,North America,5.6,Story Mode,MOBA,Yes,Always,Relaxation,GTA V,687.0,7.4,Medium
169,34,Male,South America,10.8,Online Multiplayer,Sports,Yes,Always,Relaxation,FIFA,255.0,7.7,Medium
170,31,Male,South America,10.3,Online Multiplayer,MOBA,Yes,Always,Competition,The Witcher 3,741.0,7.8,Medium
171,31,Male,Europe,1.0,Both,MOBA,Yes,Always,Social Fun,Minecraft,909.0,7.9,Medium
172,34,Male,South America,9.1,Online Multiplayer,Adventure,Yes,Always,Competition,CS:GO,692.0,7.3,Medium
173,26,Male,Europe,18.9,Online Multiplayer,MOBA,Yes,Always,Story,Minecraft,608.0,7.8,Medium
174,21,Female,Europe,10.2,Story Mode,MOBA,No,Sometimes,Competition,GTA V,1027.0,3.1,Low
175,16,Male,Europe,3.6,Story Mode,RPG,No,Never,Relaxation,FIFA,1730.0,4.0,Low
176,17,Female,Asia,14.7,Online Multiplayer,RPG,Yes,Always,Relaxation,Valorant,767.0,7.8,Medium
177,31,Male,Asia,8.3,Both,MOBA,No,Never,Story,FIFA,1310.0,5.9,Low
178,19,Male,South America,8.3,Online Multiplayer,FPS,Yes,Sometimes,Relaxation,The Witcher 3,417.0,7.9,Medium
179,31,Male,Europe,3.0,Both,MOBA,No,Sometimes,Relaxation,GTA V,233.0,5.6,Low
180,31,Female,Asia,5.1,Both,FPS,Yes,Never,Social Fun,Valorant,1127.0,6.7,Medium
181,31,Female,Europe,11.2,Story Mode,RPG,No,Never,Social Fun,Minecraft,783.0,5.8,Low
182,16,Male,North America,14.6,Online Multiplayer,MOBA,Yes,Always,Competition,The Witcher 3,1465.0,10.0,High
183,16,Male,North America,2.0,Both,FPS,Yes,Sometimes,Social Fun,Minecraft,1563.0,9.2,High
184,19,Female,North America,13.0,Online Multiplayer,FPS,Yes,Always,Story,CS:GO,1320.0,6.5,Medium
185,15,Male,South America,2.2,Story Mode,RPG,No,Never,Social Fun,GTA V,1309.0,7.4,Medium
186,15,Male,Europe,14.0,Online Multiplayer,MOBA,Yes,Sometimes,Story,The Witcher 3,0.0,9.5,High
187,33,Female,North America,8.7,Online Multiplayer,FPS,Yes,Always,Social Fun,The Witcher 3,1122.0,8.0,High
188,16,Male,Asia,10.9,Online Multiplayer,Sports,Yes,Always,Social Fun,Minecraft,1331.0,7.4,Medium
189,35,Male,North America,1.0,Both,FPS,Yes,Always,Story,Valorant,264.0,10.0,High
190,26,Male,North America,9.1,Both,Sports,Yes,Always,Social Fun,CS:GO,904.0,5.7,Low
191,20,Male,North America,10.2,Online Multiplayer,Sports,Yes,Never,Social Fun,Minecraft,379.0,10.0,High
192,18,Male,South America,13.7,Online Multiplayer,RPG,Yes,Always,Social Fun,The Witcher 3,1414.0,8.1,High
193,25,Female,Asia,7.3,Story Mode,RPG,No,Sometimes,Relaxation,GTA V,422.0,4.8,Low
194,31,Male,Europe,7.1,Online Multiplayer,RPG,Yes,Always,Social Fun,The Witcher 3,504.0,6.6,Medium
195,20,Male,Asia,13.2,Online Multiplayer,Adventure,Yes,Sometimes,Competition,FIFA,668.0,7.1,Medium
196,19,Male,Europe,10.3,Story Mode,FPS,No,Never,Competition,GTA V,2025.0,8.3,High
197,34,Male,South America,5.4,Story Mode,FPS,No,Never,Relaxation,GTA V,1402.0,7.3,Medium
198,16,Female,South America,6.0,Both,FPS,Yes,Sometimes,Relaxation,The Witcher 3,1706.0,8.4,High
199,20,Male,South America,9.1,Online Multiplayer,RPG,Yes,Always,Competition,Valorant,0.0,9.3,High
200,25,Male,South America,10.7,Online Multiplayer,FPS,Yes,Always,Social Fun,GTA V,265.0,5.9,Low
201,30,Female,Europe,5.6,Story Mode,Adventure,No,Sometimes,Relaxation,FIFA,1569.0,8.9,High
202,30,Male,North America,8.2,Both,Sports,Yes,Sometimes,Social Fun,Minecraft,20.0,9.1,High
203,15,Male,Europe,2.5,Story Mode,RPG,No,Never,Competition,Valorant,564.0,5.4,Low
204,23,Male,Asia,10.5,Story Mode,RPG,No,Never,Competition,Valorant,1928.0,6.4,Medium
205,20,Male,South America,10.6,Online Multiplayer,RPG,Yes,Always,Story,Valorant,418.0,7.5,Medium
206,30,Male,South America,4.0,Both,MOBA,Yes,Always,Competition,GTA V,0.0,7.9,Medium
207,17,Male,Asia,7.8,Online Multiplayer,Sports,Yes,Sometimes,Social Fun,Valorant,924.0,8.2,High
208,34,Female,Europe,17.6,Online Multiplayer,MOBA,Yes,Sometimes,Relaxation,The Witcher 3,10.0,9.6,High
209,18,Male,North America,6.1,Story Mode,Sports,No,Never,Competition,Valorant,1519.0,7.0,Medium
210,33,Male,North America,12.4,Online Multiplayer,FPS,Yes,Never,Social Fun,FIFA,453.0,7.1,Medium
211,17,Male,Asia,17.2,Online Multiplayer,MOBA,No,Never,Competition,CS:GO,352.0,7.2,Medium
212,33,Male,North America,4.6,Both,MOBA,No,Sometimes,Relaxation,FIFA,915.0,8.3,High
213,34,Female,Europe,14.5,Online Multiplayer,FPS,Yes,Always,Story,GTA V,698.0,9.3,High
214,21,Male,Europe,7.4,Story Mode,Sports,No,Never,Competition,Valorant,1026.0,7.2,Medium
215,34,Male,Asia,9.4,Online Multiplayer,FPS,Yes,Sometimes,Social Fun,Valorant,1161.0,8.1,High
216,23,Female,Europe,4.9,Both,Adventure,Yes,Always,Social Fun,The Witcher 3,791.0,9.2,High
217,15,Male,South America,11.1,Online Multiplayer,FPS,Yes,Always,Story,Minecraft,319.0,8.9,High
218,22,Male,Asia,11.2,Online Multiplayer,RPG,Yes,Always,Relaxation,Valorant,1265.0,8.9,High
219,21,Male,Europe,8.8,Both,Adventure,Yes,Sometimes,Social Fun,FIFA,553.0,6.6,Medium
220,32,Male,Asia,9.2,Both,RPG,Yes,Always,Social Fun,GTA V,465.0,8.9,High
221,22,Female,North America,1.0,Online Multiplayer,RPG,No,Never,Relaxation,CS:GO,971.0,7.8,Medium
222,15,Male,Europe,10.7,Online Multiplayer,FPS,Yes,Always,Social Fun,Valorant,0.0,9.3,High
223,25,Male,South America,5.9,Both,MOBA,Yes,Sometimes,Social Fun,CS:GO,1095.0,8.5,High
224,32,Male,Europe,11.4,Story Mode,FPS,No,Sometimes,Social Fun,Valorant,998.0,4.5,Low
225,24,Female,Asia,4.0,Both,RPG,Yes,Sometimes,Social Fun,GTA V,1461.0,8.3,High
226,17,Male,Asia,5.4,Both,Sports,Yes,Always,Competition,Minecraft,650.0,9.0,High
227,21,Female,Europe,11.9,Online Multiplayer,MOBA,Yes,Always,Relaxation,FIFA,1562.0,7.4,Medium
228,30,Male,South America,17.4,Online Multiplayer,RPG,Yes,Sometimes,Social Fun,GTA V,1165.0,8.2,High
229,30,Female,South America,8.7,Story Mode,MOBA,No,Never,Social Fun,CS:GO,887.0,4.8,Low
230,34,Female,South America,13.8,Online Multiplayer,MOBA,Yes,Always,Social Fun,Valorant,1808.0,8.7,High
231,31,Female,Asia,7.3,Online Multiplayer,MOBA,Yes,Always,Competition,CS:GO,948.0,7.9,Medium
232,16,Female,Europe,4.9,Both,RPG,Yes,Always,Social Fun,FIFA,641.0,9.1,High
233,15,Male,North America,10.4,Story Mode,FPS,No,Never,Competition,GTA V,962.0,5.3,Low
234,30,Male,Asia,9.3,Both,FPS,Yes,Sometimes,Relaxation,CS:GO,631.0,7.5,Medium
235,26,Male,South America,3.0,Story Mode,FPS,Yes,Always,Social Fun,CS:GO,1087.0,7.0,Medium
236,19,Male,Europe,9.6,Story Mode,RPG,No,Never,Social Fun,FIFA,1560.0,6.7,Medium
237,19,Male,South America,13.1,Online Multiplayer,FPS,Yes,Always,Social Fun,Valorant,896.0,7.4,Medium
238,23,Male,North America,14.7,Online Multiplayer,Adventure,Yes,Always,Competition,CS:GO,945.0,9.1,High
239,23,Male,South America,11.5,Online Multiplayer,RPG,Yes,Always,Story,FIFA,1299.0,5.9,Low
240,17,Male,South America,15.7,Online Multiplayer,FPS,Yes,Always,Social Fun,Valorant,1494.0,6.8,Medium
241,33,Female,North America,4.9,Both,MOBA,No,Never,Story,Minecraft,674.0,5.1,Low
242,30,Male,Europe,10.7,Online Multiplayer,RPG,Yes,Sometimes,Social Fun,Valorant,986.0,9.6,High
243,30,Female,Asia,12.2,Online Multiplayer,FPS,Yes,Always,Relaxation,Minecraft,1301.0,6.8,Medium
244,17,Female,Europe,8.4,Online Multiplayer,MOBA,Yes,Always,Competition,GTA V,1065.0,6.7,Medium
245,34,Other,North America,13.4,Online Multiplayer,FPS,Yes,Never,Relaxation,FIFA,0.0,9.7,High
246,15,Male,South America,13.4,Online Multiplayer,Adventure,Yes,Sometimes,Competition,Valorant,1391.0,7.9,Medium
247,34,Female,Europe,12.2,Online Multiplayer,MOBA,Yes,Sometimes,Competition,Minecraft,1161.0,6.9,Medium
248,25,Female,Asia,12.5,Online Multiplayer,RPG,Yes,Always,Relaxation,Minecraft,1197.0,9.3,High
249,31,Female,North America,19.7,Online Multiplayer,MOBA,Yes,Always,Relaxation,GTA V,304.0,8.6,High
250,22,Male,Europe,1.0,Online Multiplayer,RPG,Yes,Always,Competition,The Witcher 3,976.0,8.9,High
